iter	Passed	Remaining
242	4088	12736
243	4115	12751
244	4123	12708
245	4157	12743
246	4173	12721
247	4199	12735
248	4217	12719
249	4236	12708
250	4266	12732
251	4285	12721
252	4317	12747
253	4329	12716
254	4351	12714
255	4372	12708
256	4391	12695
257	4405	12671
258	4420	12647
259	4453	12674
260	4463	12637
261	4486	12636
262	4501	12614
263	4516	12591
264	4546	12608
265	4564	12594
266	4584	12584
267	4605	12578
268	4628	12577
269	4638	12540
270	4667	12554
271	4683	12536
272	4704	12527
273	4734	12543
274	4762	12556
275	4783	12547
276	4800	12529
277	4820	12519
278	4863	12569
279	4893	12582
280	4916	12579
281	4936	12568
282	4959	12565
283	4971	12533
284	4996	12534
285	5014	12517
286	5032	12502
287	5049	12483
288	5083	12506
289	5100	12488
290	5127	12493
291	5161	12515
292	5193	12530
293	5215	12524
294	5231	12503
295	5269	12532
296	5296	12537
297	5309	12507
298	5342	12524
299	5361	12509
300	5378	12490
301	5392	12462
302	5427	12485
303	5435	12443
304	5457	12435
305	5477	12423
306	5492	12397
307	5512	12385
308	5533	12373
309	5550	12354
310	5565	12330
311	5594	12337
312	5617	12329
313	5628	12297
314	5650	12288
315	5673	12280
316	5683	12245
317	5712	12250
318	5727	12226
319	5743	12204
320	5766	12197
321	5797	12206
322	5826	12211
323	5847	12201
324	5864	12179
325	5882	12161
326	5895	12133
327	5916	12122
328	5932	12098
329	5948	12076
330	5966	12058
331	5991	12055
332	6008	12034
333	6028	12020
334	6054	12019
335	6076	12007
336	6096	11994
337	6115	11977
338	6129	11951
339	6159	11957
340	6179	11942
341	6205	11939
342	6220	11914
343	6243	11906
344	6278	11920
345	6293	11895
346	6300	11856
347	6306	11815
348	6312	11774
349	6321	11739
350	6327	11699
351	6335	11662
352	6341	11622
353	6346	11580
354	6354	11545
355	6360	11506
356	6368	11471
357	6374	11432
358	6381	11393
359	6387	11356
360	6393	11316
361	6410	11297
362	6426	11277
363	6451	11272
364	6461	11241
365	6488	11240
366	6495	11203
367	6521	11199
368	6537	11178
369	6566	11181
370	6588	11170
371	6599	11141
372	6616	11121
373	6643	11120
374	6667	11112
375	6693	11108
376	6711	11090
377	6734	11080
378	6750	11061
379	6775	11053
380	6802	11051
381	6821	11036
382	6854	11041
383	6875	11029
384	6908	11034
385	6937	11035
386	6959	11023
387	6975	11003
388	7002	10998
389	7015	10973
390	7024	10940
391	7052	10938
392	7073	10925
393	7102	10924
394	7116	10899
395	7132	10878
396	7166	10884
397	7187	10870
398	7208	10858
399	7235	10853
400	7250	10830
401	7271	10816
402	7288	10796
403	7303	10774
404	7309	10738
